,company_name,company_description,employees,revenue,ESG,ESG_avg_industry
89,vilisto GmbH,"vilisto GmbH is located in Hamburg, Hamburg, Germany and is part of the Machinery, Equipment, and Supplies Merchant Wholesalers Industry. vilisto GmbH has        6 total employees across all of its locations and generates $631,396 in sales (USD). (Employees figure is modelled, Sales figure is estimated). ",6,"$631,396",3,2.48
90,Raypack.ai GmbH,"Raypack.ai GmbH is located in Köln, Nordrhein-Westfalen, Germany and is part of the Computer Systems Design and Related Services Industry. Raypack.ai GmbH has        1 employees at this location and generates $68,606 in sales (USD). (Sales figure is modelled). There are        3 companies in the Raypack.ai GmbH corporate family.",1,"$68,606",5,2.35
91,pegalion GmbH & Co. KG,"pegalion GmbH & Co. KG is located in Wiesbaden, Hessen, Germany and is part of the Computer Systems Design and Related Services Industry. pegalion GmbH & Co. KG has        2 total employees across all of its locations and generates $230,135 in sales (USD). (Employees figure is modelled, Sales figure is estimated). ",2,"$230,135",3,2.35
92,DERMALOG Identification Systems GmbH,"DERMALOG Identification Systems GmbH is located in Hamburg, Hamburg, Germany and is part of the Communications Equipment Manufacturing Industry. DERMALOG Identification Systems GmbH has      200 employees at this location and generates $70.84 million in sales (USD).  There are        4 companies in the DERMALOG Identification Systems GmbH corporate family.",200,$70.84 million,1,2.35
93,Kopernikus Automotive GmbH,"Kopernikus Automotive GmbH is located in Leipzig, Sachsen, Germany and is part of the Computer Systems Design and Related Services Industry. Kopernikus Automotive GmbH has       12 employees at this location and generates $1.02 million in sales (USD). (Sales figure is estimated). ",12,$1.02 million,3,2.35
94,Architrave GmbH,"Architrave GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. Architrave GmbH has       65 employees at this location and generates $1.82 million in sales (USD). (Sales figure is estimated). There are        3 companies in the Architrave GmbH corporate family.",65,$1.82 million,2,2.35
95,Universität Siegen,"Universität Siegen is located in Siegen, Nordrhein-Westfalen, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Universität Siegen has    2,363 total employees across all of its locations and generates $225.33 million in sales (USD). (Employees and Sales figures are modelled). There are       17 companies in the Universität Siegen corporate family.",,$225.33 million,1,2.23
97,TIQ Solutions GmbH,"TIQ Solutions GmbH is located in Leipzig, Sachsen, Germany and is part of the Management, Scientific, and Technical Consulting Services Industry. TIQ Solutions GmbH has       20 employees at this location and generates $1.18 million in sales (USD). (Sales figure is estimated). There are       11 companies in the TIQ Solutions GmbH corporate family.",20,$1.18 million,3,2.23
98,ExB Labs GmbH,"ExB Labs GmbH is located in München, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry. ExB Labs GmbH has       13 employees at this location and generates $1.64 million in sales (USD). (Sales figure is modelled). There are        7 companies in the ExB Labs GmbH corporate family.",13,$1.64 million,1,2.35
99,Adigi GmbH,"Adigi GmbH is located in Parkstein, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry. Adigi GmbH has        5 total employees across all of its locations and generates $632,505 in sales (USD). (Employees and Sales figures are modelled). There are        2 companies in the Adigi GmbH corporate family.",5,"$632,505",3,2.35
