,twitter_handle,Tweets,Likes
385,Rasa_HQ,"2,568 Tweets",1243
386,cargonexx,0 Tweets,0
387,hiern_de,74 Tweets,26
388,relayr_iot,"6,777 Tweets",3945
389,Infineon,"5,978 Tweets",3633
390,offis,697 Tweets,633
391,tuc_tweet,2 Tweets,0
392,SAP,28K Tweets,7444
393,Nan,Nan,Nan
394,_OSG,"4,137 Tweets",11
395,bitmotec,170 Tweets,258
396,retresco,"1,892 Tweets",662
397,Rhebo_IIot,738 Tweets,228
398,Nan,Nan,Nan
399,mitunsdigital,"1,866 Tweets",2667
400,TRUMPFinc,"2,603 Tweets",276
401,UniBonn,"4,478 Tweets",874
402,Fraunhofer,"9,802 Tweets",6869
403,RiskIdent,614 Tweets,114
404,SiemensHealth,11.8K Tweets,1379
405,QkPlan,155 Tweets,705
406,Schulkontext,15 Tweets,4
407,scoutbeecompany,433 Tweets,987
408,Nan,Nan,Nan
409,seerene,"1,299 Tweets",128
410,So1_ai,208 Tweets,18
411,sematell_com,562 Tweets,9
412,SEMPRIAde,24 Tweets,2
413,BENEnergyAG,32 Tweets,81
414,sensape,247 Tweets,520
415,SiaSearch,111 Tweets,137
416,SICK_USA,"7,466 Tweets",2763
417,Robotron_DD,820 Tweets,506
418,SignatrixAI,6 Tweets,4
419,TH_Wildau,824 Tweets,611
420,epic_insights,284 Tweets,240
421,Nan,Nan,Nan
422,SikomSoftware,163 Tweets,0
423,pwc_de,"3,790 Tweets",2137
424,Nan,Nan,Nan
425,_SmartInMedia,36 Tweets,17
426,smart_reporting,"1,792 Tweets",2409
427,SmartMunk,189 Tweets,91
428,SMAVOO1,0 Tweets,0
429,Nan,Nan,Nan
430,solvatio_AI,8 Tweets,1
431,solvemate_HQ,816 Tweets,1157
432,Nan,Nan,Nan
433,SWM_Muenchen,"3,887 Tweets",1277
434,Nan,Nan,Nan
435,Fraunhofer,"9,802 Tweets",6869
436,HereonHelmholtz,"4,000 Tweets",3214
437,storemoods,3 Tweets,1
438,insinnoGermany,102 Tweets,7
439,targomo,610 Tweets,195
440,tawny_ai,753 Tweets,671
441,Heideldruck,"5,184 Tweets",973
442,taxy_io,594 Tweets,1340
443,thw_rosenheim,47 Tweets,66
444,Nan,Nan,Nan
445,TUDarmstadt,"4,683 Tweets",3461
446,TU_Dortmund,"1,922 Tweets",1441
447,bbraun_com,441 Tweets,421
448,TU_Ilmenau,814 Tweets,319
449,uni_kl,"1,254 Tweets",659
450,SmartFactoryKL,"2,730 Tweets",2641
451,telefonica_de,"8,304 Tweets",1783
452,maxplanckpress,20.3K Tweets,9361
453,fka_de,676 Tweets,473
454,InfAI_eV,"1,494 Tweets",1713
455,tenzir_company,105 Tweets,131
456,Nan,Nan,Nan
457,home,,0
458,NewsRoom_HAWK,"1,113 Tweets",225
459,TWT_interactive,11.3K Tweets,1274
460,ergosign,"1,009 Tweets",233
461,_thingsTHINKING,198 Tweets,56
462,Nan,Nan,Nan
463,thoughtworks,28.8K Tweets,12518
464,thuega,"1,443 Tweets",1998
465,TIQSolutions,"1,357 Tweets",738
466,Toposens,474 Tweets,478
467,TrebingHimstedt,"1,051 Tweets",83
468,Nan,Nan,Nan
469,TUBerlin,"6,673 Tweets",10663
470,TrevistoAG,225 Tweets,42
471,TwaiceTech,102 Tweets,73
472,twylahelps,,Nan
473,understandDotAi,278 Tweets,73
474,OncoRay_Press,3 Tweets,0
475,Nan,Nan,Nan
476,unibt,"1,860 Tweets",603
477,home,,0
478,unibielefeld,"3,440 Tweets",1055
479,LeibnizIPK,618 Tweets,600
480,UniBremen,"5,997 Tweets",8001
481,Saar_Uni,"1,009 Tweets",4
482,HAW_Hamburg,"9,250 Tweets",2388
483,SNInvent,,5
484,CIBsoftwareGmbH,"1,368 Tweets",784
485,AXsemantics,,2132
486,unidue,"7,127 Tweets",4824
487,uniGoettingen,"5,496 Tweets",2385
488,Nan,Nan,Nan
489,UniKonstanz,,7347
490,is_unimannheim,13 Tweets,1
491,AtlasCopcoGroup,"2,758 Tweets",2032
492,UniSiegen,"1,968 Tweets",948
493,UNICARagil,246 Tweets,6
494,Uni_Stuttgart,10.7K Tweets,3415
495,uni_ulm,"1,229 Tweets",801
496,meteolytix,13 Tweets,39
497,deutschetelekom,46.4K Tweets,14049
498,anacisionGmbH,646 Tweets,266
499,UniklinikAachen,"1,905 Tweets",1817
500,Nan,Nan,Nan
501,Nan,Nan,Nan
502,utum_muc,"2,539 Tweets",1972
503,ValueDataTech,88 Tweets,7
504,verlingoDE,46 Tweets,65
505,bosch,18K Tweets,25030
506,Nan,Nan,Nan
507,continentaltire,29.8K Tweets,30399
508,Nan,Nan,Nan
509,fortiss,799 Tweets,1800
510,Nan,Nan,Nan
511,VisionhealthG,95 Tweets,24
512,LHIND_DLH,"1,129 Tweets",617
513,vitasassistant,171 Tweets,190
514,wandelbots,803 Tweets,843
515,Nan,Nan,Nan
516,WTS_Germany,"1,782 Tweets",923
517,OpenGridEurope,814 Tweets,548
518,heliopasai,40 Tweets,62
519,WUNDER_AI,13 Tweets,6
520,xbirdhealth,,Nan
521,DWD_presse,15.2K Tweets,2494
522,betablogr,,10342
523,ZALTechCenter,,683
524,mainz_de,10K Tweets,2758
525,weareKONUX,633 Tweets,598
526,zeitgold,13 Tweets,10
527,Nan,Nan,Nan
