,id,label,description,instance,employees,TwitterUser,SocialMediaFollowers,Revenue
391,,,,,,,,
392,,,,,,,,
393,,,,,,,,
394,,,,,,,,
395,,,,,,,,
396,,,,,,,,
397,Q101835971,Universität Rostock Historisches Institut,research institute,research institute,,,,
398,,,,,,,,
399,,,,,,,,
400,,,,,,,,
401,Q224514,Hochschule Hannover,German university of applied sciences and arts,university of applied sciences,,,,
402,Q101375785,Leibniz Universität Hannover Institut für Erdmessung,research institute,research institute,,,,
403,,,,,,,,
404,,,,,,,,
405,,,,,,,,
406,Q101381074,Philipps-Universitat Marburg Fachbereich Medizin,medical school,medical school,,,,
407,,,,,,,,
408,,,,,,,,
409,Q129195,Technische Universität Ilmenau,university,public university,,,,
410,Q153987,University of Freiburg,"university in Freiburg im Breisgau, Germany",public university,,UniFreiburg,+4613,
411,,,,,,,,
412,,,,,,,,
413,,,,,,,,
414,Q40025,University of Erlangen-Nuremberg,"public research university in the cities of Erlangen and Nuremberg in Bavaria, Germany",public research university,,UniFAU,+8271,
415,Q101835971,Universität Rostock Historisches Institut,research institute,research institute,,,,
416,,,,,,,,
417,,,,,,,,
418,,,,,,,,
419,,,,,,,,
420,,,,,,,,
421,Q101375785,Leibniz Universität Hannover Institut für Erdmessung,research institute,research institute,,,,
422,,,,,,,,
423,,,,,,,,
424,,,,,,,,
425,,,,,,,,
426,,,,,,,,
427,,,,,,,,
428,,,,,,,,
429,,,,,,,,
430,,,,,,,,
431,,,,,,,,
432,,,,,,,,
433,,,,,,,,
434,,,,,,,,
435,,,,,,,,
436,Q101839231,Universität zu Lübeck Sektion Medizin,medical school,medical school,,,,
437,Q36868872,Candis,family name,family name,,,,
438,,,,,,,,
439,,,,,,,,
440,Q40025,University of Erlangen-Nuremberg,"public research university in the cities of Erlangen and Nuremberg in Bavaria, Germany",public research university,,UniFAU,+8271,
441,,,,,,,,
442,,,,,,,,
443,Q877058,Sick,German company,business,,SICK_USA,+4795,
444,Q152171,University of Bonn,"public research university located in Bonn, Germany",public research university,,unibonn,+18780,
445,,,,,,,,
446,Q1312356,PSI AG,public company,public company,,,,
447,,,,,,,,
448,,,,,,,,
449,Q97382942,Orbica Building,office building in Christchurch,office building,,,,
450,,,,,,,,
451,,,,,,,,
452,,,,,,,,
453,,,,,,,,
454,,,,,,,,
455,,,,,,,,
456,,,,,,,,
457,,,,,,,,
458,,,,,,,,
459,,,,,,,,
460,,,,,,,,
461,Q16865160,Bunch,family name,family name,,,,
462,,,,,,,,
463,,,,,,,,
464,,,,,,,,
465,,,,,,,,
466,,,,,,,,
467,,,,,,,,
468,,,,,,,,
469,,,,,,,,
470,,,,,,,,
471,,,,,,,,
472,,,,,,,,
473,,,,,,,,
474,,,,,,,,
475,Q81230,Siemens,German multinational conglomerate,business,+370000,Siemens,+235000,+75636000000
476,,,,,,,,
477,,,,,,,,
478,,,,,,,,
479,,,,,,,,
480,Q882871,Stadtwerke München,"municipal utility company in Munich, Germany",Stadtwerk,+3577,SWM_Muenchen,+13223,+6300000000
481,,,,,,,,
482,,,,,,,,
483,,,,,,,,
484,,,,,,,,
485,,,,,,,,
486,,,,,,,,
487,,,,,,,,
488,Q101271249,Universitätsklinikum Erlangen Augenklinik,academic department,academic department,,,,
489,,,,,,,,
490,,,,,,,,
491,,,,,,,,
492,Q101839231,Universität zu Lübeck Sektion Medizin,medical school,medical school,,,,
